OBJECTID,NAME,PYNAME,MAPID,ID,KIND_NUM,KIND,WIDTH,DIRECTION,TOLL,CONST_ST,UNDCONCRID,SNODEID,ENODEID,FUNCCLASS,LENGTH,DETAILCITY,THROUGH,UNTHRUCRID,OWNERSHIP,ROAD_COND,SPECIAL,ADMINCODEL,ADMINCODER,UFLAG,ONEWAYCRID,ACCESSCRID,SPEEDCLASS,LANENUMS2E,LANENUME2S,LANENUM,VEHCL_TYPE,ELEVATED,STRUCTURE,USEFEECRID,USEFEETYPE,SPDLMTS2E,SPDLMTE2S,SPDSRCS2E,SPDSRCE2S,DC_TYPE,NOPASSCRID,TYPE,Shape_Leng
1338942,,,605712,14614556,1,0801,30,1,2,1,,12081416,12081417,5,0.612,1,0,,0,1,0,110117,110117,0,,,7,1,1,1,11110001110000000000000000000000,0,0,,,150,150,,,0,,8,0.00614442267
1340178,,,605712,15053377,1,0801,30,1,2,1,,12429303,12429305,5,0.895,0,1,,0,1,0,120225,120225,0,,,7,1,1,1,11110001110000000000000000000000,0,0,,,150,150,,,0,,8,0.00921320483
1357908,,,605701,86345172,1,0814,55,1,2,1,,6210623,73394706,5,0.064,1,0,,0,1,0,110117,110117,0,,,7,1,1,1,11110001110000000000000000000000,0,0,,,150,150,,,0,,8,0.00066080871
1357909,,,605701,86345174,1,0814,55,1,2,1,,73394706,73394705,5,0.098,1,0,,0,1,0,110117,110117,0,,,7,1,1,1,11110001110000000000000000000000,0,0,,,150,150,,,0,,8,0.00103588692
1357910,,,605701,86345175,1,0814,55,1,2,1,,73394706,73394708,5,0.008,1,0,,0,1,0,110117,110117,0,,,7,1,1,1,11110001110000000000000000000000,0,0,,,150,150,,,0,,8,0.00007813401
1357911,,,605701,86345176,1,0814,55,1,2,1,,73394708,6210621,5,0.186,1,0,,0,1,0,110117,110117,0,,,7,1,1,1,11110001110000000000000000000000,0,0,,,150,150,,,0,,8,0.00208286164
1357912,,,605701,86345181,1,0814,30,1,2,1,,73394710,73394709,5,0.157,1,0,,0,1,0,110117,110117,0,,,7,1,1,1,11110001110000000000000000000000,0,0,,,150,150,,,0,,8,0.00179221518
1357913,,,605701,86345182,1,0814,30,1,2,1,,73394709,73394711,5,0.142,1,0,,0,1,0,110117,110117,0,,,7,1,1,1,11110001110000000000000000000000,0,0,,,150,150,,,0,,8,0.00157529722
1357914,,,605701,86345183,1,0814,30,1,2,1,,73394711,73394710,5,0.189,1,0,,0,1,0,110117,110117,0,,,7,1,1,1,11110001110000000000000000000000,0,0,,,150,150,,,0,,8,0.00204063869
1357915,,,605701,86345184,1,0814,55,1,2,1,,73394708,73394712,5,0.123,1,0,,0,1,0,110117,110117,0,,,7,1,1,1,11110001110000000000000000000000,0,0,,,150,150,,,0,,8,0.00127133312
1357916,,,605701,86345185,1,0814,55,1,2,1,,73394712,73394710,5,0.243,1,0,,0,1,0,110117,110117,0,,,7,1,1,1,11110001110000000000000000000000,0,0,,,150,150,,,0,,8,0.00255440073
1357917,,,605701,86345200,1,0801,30,1,2,1,,10073394720,73394718,5,2.177,1,1,,0,1,0,131082,131082,0,,,7,1,1,1,11110001110000000000000000000000,0,0,,,150,150,,,0,,8,0.02168732138
1357918,,,605712,86345310,1,0801,55,1,2,1,,73394797,5999111,5,0.145,1,1,,0,1,0,110117,110117,0,,,7,1,1,1,11110001110000000000000000000000,0,0,,,150,150,,,0,,8,0.00165110328
1357919,水向路,sxl,605712,86345311,1,0801,30,1,2,1,,5999088,73394801,5,2.505,1,1,,0,1,0,110117,110117,0,,,7,1,1,1,11110001110000000000000000000000,0,0,,,150,150,,,0,,8,0.02430270927
1357920,水向路,sxl,605712,86345312,1,0801,30,1,2,1,,73394801,10005999089,5,0.223,1,1,,0,1,0,110117,110117,0,,,7,1,1,1,11110001110000000000000000000000,0,0,,,150,150,,,0,,8,0.00214818464
1358711,五坝地路,wbdl,605712,87841561,1,0801,30,1,2,1,,5999075,74264371,5,0.039,1,1,,0,1,0,110117,110117,0,,,7,1,1,1,11110001110000000000000000000000,0,0,,,150,150,,,0,,8,0.00040291497
1358712,五坝地路,wbdl,605712,87841562,1,0801,30,1,2,1,,74264371,5999067,5,0.030,1,1,,0,1,0,110117,110117,0,,,7,1,1,1,11110001110000000000000000000000,0,0,,,150,150,,,0,,8,0.00031215520
1360366,,,605712,88494444,1,0801,30,1,2,1,,5999077,74264497,5,0.041,1,1,,0,1,0,110117,110117,0,,,7,1,1,1,11110001110000000000000000000000,0,0,,,150,150,,,0,,8,0.00036779953
1360367,,,605712,88494445,1,0801,30,1,2,1,,74264497,5999071,5,0.087,1,1,,0,1,0,110117,110117,0,,,7,1,1,1,11110001110000000000000000000000,0,0,,,150,150,,,0,,8,0.00084156364
