OBJECTID,NAME,PYNAME,MAPID,ID,KIND_NUM,KIND,WIDTH,DIRECTION,TOLL,CONST_ST,UNDCONCRID,SNODEID,ENODEID,FUNCCLASS,LENGTH,DETAILCITY,THROUGH,UNTHRUCRID,OWNERSHIP,ROAD_COND,SPECIAL,ADMINCODEL,ADMINCODER,UFLAG,ONEWAYCRID,ACCESSCRID,SPEEDCLASS,LANENUMS2E,LANENUME2S,LANENUM,VEHCL_TYPE,ELEVATED,STRUCTURE,USEFEECRID,USEFEETYPE,SPDLMTS2E,SPDLMTE2S,SPDSRCS2E,SPDSRCE2S,DC_TYPE,NOPASSCRID,TYPE,Shape_Leng
255,,,595661,271879,2,0105|010b,30,2,2,1,,261367,261365,4,0.118,1,1,,0,1,0,110107,110107,1,,,4,1,,1,11110001110000000000000000000000,0,0,,,800,,1,,0,,1,0.00117160313
256,衙门口桥,ymkq,595661,271880,3,0103|010b|010c,55,2,2,1,,261368,261369,1,0.205,1,1,,0,1,0,110107,110107,1,,,5,2,,2,11100001110000000000000000000000,0,0,,,300,,1,,0,,1,0.00194186327
257,衙门口桥,ymkq,595661,271881,3,0103|010b|010c,30,2,2,1,,261370,261371,1,0.180,1,1,,0,1,0,110107,110107,1,,,5,1,,1,11100001110000000000000000000000,0,0,,,500,,1,,0,,1,0.00174419747
258,衙门口桥,ymkq,595661,271882,3,0103|010b|010c,30,3,2,1,,261372,261373,1,0.130,1,1,,0,1,0,110107,110107,1,,,5,,1,1,11100001110000000000000000000000,0,0,,,,600,,1,0,,1,0.00139805208
259,,,595661,271896,3,0105|010b|0117,55,2,2,1,,261389,261390,3,0.124,1,1,,0,1,0,110107,110107,1,,,6,2,,2,11110001110000000000000000000000,0,0,,,400,,1,,0,,1,0.00145374918
260,,,595661,271898,3,0105|010b|0117,55,2,2,1,,261391,261392,3,0.137,1,1,,0,1,0,110107,110107,1,,,6,2,,2,11110001110000000000000000000000,0,0,,,400,,,,0,,1,0.00160782097
261,,,595661,271899,3,0105|010b|0117,30,3,2,1,,261393,261394,3,0.109,1,1,,0,1,0,110107,110107,1,,,6,,1,1,11110001110000000000000000000000,0,0,,,,400,,1,0,,1,0.00126773078
262,,,595661,271902,3,0105|010b|0117,55,2,2,1,,261397,261396,3,0.114,1,1,,0,1,0,110107,110107,1,,,6,2,,2,11110001110000000000000000000000,0,0,,,400,,1,,0,,1,0.00133653613
263,,,595661,272173,3,0105|010b|0117,55,2,2,1,,261403,261404,3,0.114,1,1,,0,1,0,110107,110107,1,,,6,2,,2,11110001110000000000000000000000,0,0,,,400,,,,0,,1,0.00132745465
264,,,595661,272174,3,0105|010b|0117,55,3,2,1,,261405,261406,3,0.149,1,1,,0,1,0,110107,110107,1,,,6,,2,2,11110001110000000000000000000000,0,0,,,,400,,1,0,,1,0.00174689763
265,莲石东路,lsdl,595661,272175,2,0102|010c,130,3,2,1,,261406,261407,1,0.130,1,1,,0,1,0,110107,110107,1,,,4,,5,3,11100001110000000000000000000000,0,0,,,,800,,1,0,,1,0.00152144362
266,S50-五环,s50-wh,595661,272574,2,0102|010c,55,3,2,1,,262229,262231,1,0.108,1,1,,0,1,0,110107,110107,1,,,4,,3,2,11100001110000000000000000000000,0,0,,,,900,,1,0,,1,0.00096998238
267,S50-五环,s50-wh,595661,272576,2,0102|010c,55,3,2,1,,262236,262238,1,0.084,1,1,,0,1,0,110107,110107,1,,,4,,3,2,11100001110000000000000000000000,0,0,,,,900,,1,0,,1,0.00076002685
268,S50-五环,s50-wh,595661,272577,2,0102|010c,55,3,2,1,,262240,262234,1,0.069,1,1,,0,1,0,110107,110107,1,,,4,,3,2,11100001110000000000000000000000,0,0,,,,900,,1,0,,1,0.00062028687
269,S50-五环,s50-wh,595661,272583,2,0102|010c,55,2,2,1,,262265,262267,1,0.061,1,1,,0,1,0,110107,110107,1,,,3,3,,2,11100001110000000000000000000000,0,0,,,1000,,1,,0,,1,0.00055008236
270,莲石东路,lsdl,595661,272584,2,0102|010c,130,3,2,1,,262271,262272,1,0.255,1,1,,0,1,0,110107,110107,1,,,4,,4,3,11100001110000000000000000000000,0,0,,,,800,,1,0,,1,0.00295814648
271,莲石东路,lsdl,595661,272585,2,0102|010c,130,3,2,1,,262272,262274,1,0.106,1,1,,0,1,0,110107,110107,1,,,4,,4,3,11100001110000000000000000000000,0,0,,,,800,,1,0,,1,0.00124441694
272,莲石东路,lsdl,595661,272586,2,0102|010c,55,2,2,1,,261389,262277,1,0.103,1,1,,0,1,0,110107,110107,1,,,4,3,,2,11100001110000000000000000000000,0,0,,,800,,1,,0,,1,0.00120249970
273,莲石东路,lsdl,595661,272588,2,0102|010c,55,3,2,1,,262281,262283,1,0.056,1,1,,0,1,0,110107,110107,1,,,4,,3,2,11100001110000000000000000000000,0,0,,,,800,,1,0,,1,0.00065052006
274,莲石东路,lsdl,595661,272589,2,0102|010c,55,2,2,1,,261397,262285,1,0.056,1,1,,0,1,0,110107,110107,1,,,4,3,,2,11100001110000000000000000000000,0,0,,,800,,1,,0,,1,0.00065052004
275,,,595661,272682,2,0105|010b,30,3,2,1,,263833,263835,5,0.057,1,1,,0,1,0,110107,110107,1,,,7,,1,1,11110001110000000000000000000000,0,0,,,,300,,1,0,,1,0.00053480459
276,京密高速公路,jmgsgl,605635,275285,2,0102|010c,55,2,2,1,,227151,226256,2,0.052,1,1,,0,1,0,110116,110116,1,,,3,2,,2,11100001110000000000000000000000,0,0,,,1000,,1,,0,,1,0.00047247947
277,京密高速公路,jmgsgl,605635,275286,2,0102|010c,55,3,2,1,,226335,227154,2,0.051,1,1,,0,1,0,110116,110116,1,,,5,,2,2,11100001110000000000000000000000,0,0,,,,700,,1,0,,1,0.00046048222
278,京密高速公路,jmgsgl,605635,275287,2,0102|010c,55,3,2,1,,227154,225526,2,0.131,1,1,,0,1,0,110116,110116,1,,,5,,2,2,11100001110000000000000000000000,0,0,,,,700,,1,0,,1,0.00118594348
279,京密高速公路,jmgsgl,605635,275412,2,0102|010c,55,2,2,1,,225523,222514,2,0.021,1,1,,0,1,0,110116,110116,1,,,5,2,,2,11100001110000000000000000000000,0,0,,,700,,1,,0,,1,0.00019219192
280,S50-五环,s50-wh,595661,277389,2,0102|010c,55,3,2,1,,259891,278868,1,0.029,1,1,,0,1,0,110106,110106,1,,,4,,3,2,11100001110000000000000000000000,0,0,,,,800,,1,0,,1,0.00026537707
281,S50-五环,s50-wh,595661,277390,2,0102|010c,55,3,2,1,,278868,259898,1,0.038,1,1,,0,1,0,110106,110106,1,,,4,,3,2,11100001110000000000000000000000,0,0,,,,800,,1,0,,1,0.00034514825
282,莲石东路,lsdl,595661,277393,2,0102|010c,130,2,2,1,,261372,278872,1,0.009,1,1,,0,1,0,110107,110107,1,,,4,4,,3,11100001110000000000000000000000,0,0,,,800,,1,,0,,1,0.00009865512
283,莲石东路,lsdl,595661,277394,2,0102|010c,130,2,2,1,,278872,261389,1,0.278,1,1,,0,1,0,110107,110107,1,,,4,4,,3,11100001110000000000000000000000,0,0,,,800,,1,,0,,1,0.00321922282
284,莲石西路,lsxl,595661,277395,2,0102|010c,55,3,2,1,,262301,278873,1,0.070,1,1,,0,1,0,110107,110107,1,,,4,,3,2,11100001110000000000000000000000,0,0,,,,800,,1,0,,1,0.00074011880
285,莲石西路,lsxl,595661,277396,2,0102|010c,55,3,2,1,,278873,261369,1,0.057,1,1,,0,1,0,110107,110107,1,,,4,,3,2,11100001110000000000000000000000,0,0,,,,800,,1,0,,1,0.00060015000
286,莲石西路,lsxl,595661,277397,2,0102|010c,55,2,2,1,,261511,279489,1,0.051,1,1,,0,1,0,110107,110107,1,,,4,3,,2,11100001110000000000000000000000,0,0,,,800,,1,,0,,1,0.00054144180
287,莲石西路,lsxl,595661,277398,2,0102|010c,55,3,2,1,,261557,279491,1,0.098,1,1,,0,1,0,110109,110106,0,,,4,,3,2,11100001110000000000000000000000,0,0,,,,800,,1,0,,1,0.00108972402
288,S50-五环,s50-wh,595661,277400,2,0102|010c,55,3,2,1,,279492,261494,1,0.111,1,1,,0,1,0,110107,110107,1,,,4,,3,2,11100001110000000000000000000000,0,0,,,,900,,1,0,,1,0.00099994500
289,莲石东路,lsdl,595661,277401,2,0102|010c,55,2,2,1,,261392,279493,1,0.050,1,1,,0,1,0,110107,110107,1,,,4,3,,2,11100001110000000000000000000000,0,0,,,800,,1,,0,,1,0.00058050004
290,莲石东路,lsdl,595661,277402,2,0102|010c,55,2,2,1,,279493,262280,1,0.141,1,1,,0,1,0,110107,110107,1,,,4,3,,2,11100001110000000000000000000000,0,0,,,800,,1,,0,,1,0.00165132012
291,莲石东路,lsdl,595661,277403,2,0102|010c,55,2,2,1,,279494,261397,1,0.114,1,1,,0,1,0,110107,110107,1,,,4,3,,2,11100001110000000000000000000000,0,0,,,800,,1,,0,,1,0.00134153028
292,莲石东路,lsdl,595661,277404,2,0102|010c,55,3,2,1,,279495,262288,1,0.458,1,1,,0,1,0,110107,110107,1,,,4,,3,2,11100001110000000000000000000000,0,0,,,,800,,1,0,,1,0.00536533226
293,莲石东路,lsdl,595661,277406,2,0102|010c,55,2,2,1,,279496,261404,1,0.380,1,1,,0,1,0,110107,110107,1,,,4,3,,2,11100001110000000000000000000000,0,0,,,800,,1,,0,,1,0.00445387278
294,S50-五环,s50-wh,595661,277407,2,0102|010c,55,2,2,1,,260637,279497,1,0.368,1,1,,0,1,0,110106,110106,1,,,3,3,,2,11100001110000000000000000000000,0,0,,,1000,,1,,0,,1,0.00368725992
295,S50-五环,s50-wh,595661,277408,2,0102|010c,55,2,2,1,,263161,262248,1,0.075,1,1,,0,1,0,110106,110106,1,,,3,3,,2,11100001110000000000000000000000,0,0,,,1000,,1,,0,,1,0.00074352981
296,S50-五环,s50-wh,595661,277409,2,0102|010c,55,2,2,1,,279499,268071,1,0.117,1,1,,0,1,0,110107,110107,1,,,3,3,,2,11100001110000000000000000000000,0,0,,,1000,,1,,0,,1,0.00105841643
297,S50-五环,s50-wh,595661,277410,2,0102|010c,55,3,2,1,,10000283232,279500,1,0.163,1,1,,0,1,0,110107,110107,1,,,4,,3,2,11100001110000000000000000000000,0,0,,,,900,,1,0,,1,0.00146920497
298,莲石西路,lsxl,595661,277417,2,0102|010c,55,3,2,1,,279504,261336,1,0.671,1,1,,0,1,0,110107,110107,1,,,4,,3,2,11100001110000000000000000000000,0,0,,,,800,,1,0,,1,0.00771086116
299,莲石西路,lsxl,595661,277419,2,0102|010c,55,2,2,1,,279505,279490,1,0.211,1,1,,0,1,0,110107,110107,1,,,4,3,,2,11100001110000000000000000000000,0,0,,,800,,1,,0,,1,0.00247876166
300,莲石西路,lsxl,595661,278120,2,0102|010c,55,3,2,1,,261566,262301,1,0.156,1,1,,0,1,0,110107,110107,1,,,4,,3,2,11100001110000000000000000000000,0,0,,,,800,,1,0,,1,0.00169304688
301,莲石西路,lsxl,595661,280078,2,0102|010c,55,3,2,1,,279598,279513,1,0.171,1,1,,0,1,0,110107,110107,1,,,4,,3,2,11100001110000000000000000000000,0,0,,,,800,,1,0,,1,0.00200554259
302,衙门口桥,ymkq,595661,280079,3,0103|010b|010c,30,2,2,1,,263154,279599,1,0.045,1,1,,0,1,0,110107,110107,1,,,5,1,,1,11100001110000000000000000000000,0,0,,,500,,1,,0,,1,0.00049609802
303,莲石东路,lsdl,595661,280081,3,0102|0103|010c,55,3,2,1,,279600,263154,1,0.050,1,1,,0,1,0,110107,110107,1,,,4,,3,2,11100001110000000000000000000000,0,0,,,,800,,1,0,,1,0.00053679815
