OBJECTID,NAME,PYNAME,MAPID,ID,KIND,SNODE_ID,ENODE_ID,Shape_Leng
102,地铁5号线,dt5hx,595663,10000020699,0246,10000015770,110000024729,0.00847028213
103,地铁1号线,dt1hx,595671,10000015878,0246,210000013689,10000018998,0.01019646455
104,地铁1号线,dt1hx,595662,10000012323,0246,10000004500,10000014736,0.04611083639
105,地铁10号线,dt10hx,595662,10000012324,0246,110000003810,10000014736,0.01106673515
106,地铁6号线,dt6hx,595675,10000018853,0246,210000024638,210000022524,0.04427138647
107,地铁昌平线,dtcpx,605612,10000322541,0245,10000175861,10000320900,0.00779551590
108,地铁大兴线,dtdxx,595662,10000029091,0246,10000026401,210000023910,0.00250988309
109,地铁1号线,dt1hx,595662,10000005175,0246,10000014736,210000006246,0.06031126621
110,地铁10号线,dt10hx,595673,10000010356,0246,10000006032,10000012380,0.05409906008
111,地铁昌平线,dtcpx,605612,10000177441,0245,110000175846,10000175860,0.06875629880
112,地铁昌平线,dtcpx,605612,10000177444,0245,10000175860,10000175861,0.01562064744
113,地铁昌平线,dtcpx,605612,10000177445,0245,10000175861,210000020066,0.03606785284
114,地铁14号线,dt14hx,595662,10046245211,0246,210046243328,110046243329,0.12831527529
115,地铁14号线,dt14hx,595663,10046245213,0246,210046243329,110046243330,0.15513319052
116,地铁14号线,dt14hx,595673,10046245214,0246,210046243330,110046243327,0.10625607780
117,地铁6号线,dt6hx,595672,10000027588,0246,10000004799,110000015943,0.00189889822
118,地铁13号线,dt13hx,595672,10000013376,0245,10046243331,110000016008,0.06419826899
119,地铁7号线,dt7hx,595662,10001442786,0246,10001439618,110001439620,0.05623276995
120,地铁7号线,dt7hx,595663,10001442792,0246,210001439620,110001439623,0.12551087374
121,地铁15号线,dt15hx,605604,10000026053,0245,10000175858,110000175857,0.05938674203
122,地铁房山线,dtfsx,595652,10000011531,0245,10000021624,10000013775,0.02232018449
123,地铁15号线,dt15hx,605615,10046916218,0246,10046914330,10000002975,0.03860094110
124,地铁5号线,dt5hx,605603,10000017123,0245,110000175847,10000020462,0.03152478193
125,地铁8号线,dt8hx,605603,10000025236,0246,10000020528,210000003601,0.01003171293
126,地铁4号线,dt4hx,595663,10000027438,0246,210000011217,210000015186,0.01227742657
127,地铁4号线,dt4hx,595662,10000022084,0246,110000015186,10000026368,0.02916417315
128,地铁2号线,dt2hx,595662,10000022085,0246,10000004500,10000026368,0.02399161464
129,地铁机场线,dtjcx,605604,10000024326,0246,10000175854,10000029045,0.03994394717
130,地铁房山线,dtfsx,595652,10000005499,0245,10000013775,210000006639,0.02644735012
131,地铁亦庄线,dtyzx,595653,10000010533,0245,10000020417,110000012581,0.02940648118
132,地铁昌平线,dtcpx,605602,10000005192,0245,110000020066,10000006268,0.03725989894
133,地铁1号线,dt1hx,595662,10000003741,0246,10000024378,10000004500,0.01754163617
134,地铁2号线,dt2hx,595662,10000003742,0246,110000018586,10000004500,0.00949935725
135,地铁4号线,dt4hx,605602,10000008296,0246,10000175839,10000175838,0.02013340246
136,地铁2号线,dt2hx,595663,10000003790,0246,10000027142,10000004555,0.02156226398
137,地铁1号线,dt1hx,595663,10000003791,0246,10000002446,10000004555,0.02608226724
138,地铁机场线,dtjcx,605604,10000008556,0245,10000175853,10000175854,0.00918466946
139,地铁15号线,dt15hx,605615,10046916217,0246,210000002136,10046914330,0.02416052957
140,地铁13号线,dt13hx,605603,10000025146,0245,10000016785,210000003071,0.03420471497
141,地铁10号线,dt10hx,595662,10000008817,0246,10000029118,110000010582,0.00385590991
142,地铁15号线,dt15hx,605614,10000002637,0245,10000175856,10000175855,0.02580110793
143,地铁9号线,dt9hx,595672,10000006364,0246,10000022080,210000007671,0.01641079362
144,地铁2号线,dt2hx,595673,10000003562,0246,10000017996,210000004279,0.01957668817
145,地铁亦庄线,dtyzx,595654,10046245234,0245,10000009825,10046243348,0.00589939380
146,地铁亦庄线,dtyzx,595654,10046245235,0246,10046243348,10000005537,0.04495190533
147,地铁亦庄线,dtyzx,595653,10046245236,0246,110000002272,10046243349,0.01769644186
148,地铁亦庄线,dtyzx,595653,10046245237,0245,10046243349,10000020417,0.02802877102
