OBJECTID,NAME,PYNAME,MAPID,ID,KIND,SNODE_ID,ENODE_ID,Shape_Leng
1866,大秦线,dqx,605634,10000014383,0242,10000020637,110000017229,0.00493920960
1867,,,605607,10000013899,0242,10000019669,10000016647,0.00550670860
1868,京包线,jbx,595672,10000014718,0242,10000010026,10000017650,0.00651664816
1869,,,605557,10000014728,0242,210000007872,10000017662,0.04576690543
1870,双丰线,sfx,595652,10000014730,0242,10000020382,10000017664,0.00236121865
1871,京包线,jbx,605602,10000023623,0242,10000020943,10000028194,0.00169708711
1872,京包线,jbx,605602,10000023624,0242,10000003937,10000028194,0.01185805458
1873,,,595640,10000015061,0242,10000020878,10000018034,0.01283426965
1875,,,595661,10000003181,0242,10000024497,10000003820,0.00384616898
1876,京包线,jbx,605612,10000003705,0242,10000023162,10000004459,0.00880124600
1877,京包线,jbx,605612,10000003706,0242,10000007211,10000004459,0.00743247755
1878,,,605645,10000003717,0242,10000009766,10000004476,0.00214720588
1879,,,595652,10000011834,0242,10000014034,10000014127,0.02396624096
1880,京沪线,jhx,595652,10000004901,0242,10000013864,10000005901,0.05304357471
1881,,,595652,10000004902,0242,10000008855,10000005901,0.05106405795
1882,京沪线,jhx,595652,10000004903,0242,10000003390,10000005901,0.00039443168
1883,,,605547,10000008432,0242,10000015844,10000010109,0.00013995000
1884,,,595670,10000019086,0242,10000012243,10000022788,0.00970679658
1885,,,605600,10000012130,0242,210000003970,210000014496,0.01458040570
1886,京承线,jcx,605605,10000018170,0242,210000026612,10000021682,0.00119744202
1887,西北环线,xbhx,605610,10000017808,0242,210000006771,10000021263,0.01672630981
1888,,,595651,10000017696,0242,10000024685,10000021124,0.00279408791
1889,,,605622,10000012635,0242,10000029054,10000015122,0.01263802436
1890,丰沙线,fsx,605515,10000004083,0242,110000008863,10000004925,0.05743383014
1891,,,605607,10000006411,0242,10000028067,10000007730,0.01600681500
1892,京包线,jbx,595674,10000006176,0242,10000025729,10000007450,0.00753996536
1893,,,595672,10000018920,0242,10000014010,10000022603,0.00162173168
1894,双丰线,sfx,595652,10000003747,0242,110000009491,10000004505,0.00402361715
1895,京包线,jbx,605547,10000005412,0242,10000009427,110000006533,0.00096646293
1896,,,595672,10000005414,0242,10000010084,10000006535,0.00113735774
1897,京沪线,jhx,595651,10000008262,0242,10000025587,10000009905,0.00013918448
1898,西北环线,xbhx,605600,10000018319,0242,210000020408,10000021864,0.06992218834
1899,,,595661,10000017379,0242,10000016887,10000020758,0.00187383726
1900,,,595577,10000015528,0242,10000027899,10000018594,0.00515468725
1902,丰沙线,fsx,595577,10000002668,0242,10000016925,10000003214,0.00587468911
1903,,,595665,10000020102,0242,10000005040,10000024015,0.00648459041
1904,双丰线,sfx,595652,10000016069,0242,10000004865,10000019216,0.00709907051
1905,京承线,jcx,605625,10000016070,0242,10000025694,10000019217,0.03278083807
1906,,,595674,10000023446,0242,10000009498,10000027982,0.00535975615
1907,京包线,jbx,595674,10000023447,0242,10000007450,10000027982,0.00162998191
1908,京包线,jbx,595674,10000023448,0242,10000001943,10000027982,0.00517174923
1909,,,595663,10000019606,0242,10000009156,10000023407,0.02059273903
1910,京津高速铁路,jjgstl,595663,10000019607,0242,110000003406,10046243346,0.08934165638
1911,,,595537,10000019611,0242,10000023913,110000023415,0.01475495275
1912,,,595670,10000024520,0242,10000027255,10000029276,0.02056457530
1913,,,595670,10000024521,0242,10000019484,10000029276,0.00469078904
1914,,,595672,10000011563,0242,210000008964,10000013809,0.01028354869
1915,京包线,jbx,595672,10000018175,0242,10000011861,10000021688,0.00007215128
1916,京原线,jyx,595535,10000022529,0242,210000004727,110000026895,0.13161606533
1917,,,595577,10000023377,0242,10000018191,10000027899,0.07179267322
1918,,,595672,10000020766,0242,10000002971,10000024807,0.00012162237
1919,,,595630,10000021371,0242,10000016674,10000025531,0.00907269872
1920,京广线,jgx,595630,10000021372,0242,210000001820,10000025531,0.00082479011
1921,京包线,jbx,595674,10000021536,0242,10000007216,10000025729,0.00240435402
1922,,,595664,10000024453,0242,110000012590,10000029198,0.01346626481
1923,,,595664,10000024454,0242,10000004796,10000029198,0.00787211637
1924,,,595674,10000007924,0242,10000009744,10000009506,0.00729048329
1925,京原线,jyx,595557,10000007972,0242,10000020075,10000009561,0.01805773723
1926,京原线,jyx,595557,10000007973,0242,10000018261,10000009561,0.00375506766
1927,京原线,jyx,595557,10000007974,0242,10000013904,10000009561,0.01108787194
1928,,,595651,10000006343,0242,10000002163,10000007649,0.01683178662
1929,,,595652,10000008952,0242,10000000351,10000010740,0.00053227068
1930,,,595663,10000020816,0242,10000006970,10000024864,0.01120754868
1931,,,605621,10000009112,0242,10000004363,10000010930,0.00147330858
1932,京承线,jcx,605635,10000009146,0242,10000013275,10000010964,0.01626202496
1933,京原线,jyx,595661,10000009854,0242,210000003836,10000011808,0.00941515178
1934,,,595674,10001443783,0242,10000008993,10001440617,0.00339876213
1935,,,595674,10001443784,0242,10001440617,10000003490,0.00045895815
1936,,,595665,10000017656,0242,10000024015,10000021079,0.00381815188
1937,京包线,jbx,595674,10000017551,0242,10000012109,10000020964,0.03750042106
1938,,,595640,10000018990,0242,110000010123,10000022682,0.00771282106
1939,,,595651,10000020664,0242,10000007649,10000024685,0.00089028975
1940,大秦线,dqx,605634,10000023956,0242,10000020637,10000028598,0.00431848252
1941,,,595665,10000024395,0242,10000028038,10000029129,0.00009444581
1942,京通线,jtx,605677,10000024111,0242,210000025842,110000028778,0.00925018183
1943,,,605607,10000022445,0242,10000017976,10000026797,0.00013907031
1945,,,605604,10000026462,0242,10000019926,210000009901,0.02313943997
1946,,,605622,10000014918,0242,10000026530,10000017876,0.04231512972
1947,京广线,jgx,595661,10000014928,0242,10000014273,10000017888,0.02296761826
1948,,,595651,10000012596,0242,10000021124,10000015065,0.00686387887
1949,京承线,jcx,595665,10000026921,0242,10000021780,110000012441,0.00686225496
1950,京原线,jyx,595557,10000011647,0242,210000022056,10000013904,0.00536789883
1951,双丰线,sfx,595652,10000006380,0242,10000008892,10000007692,0.02408978601
1952,,,595652,10000006381,0242,10000008855,10000007692,0.01228685119
1953,京沪线,jhx,595643,10000026712,0242,210000019410,210000011218,0.03704441193
1954,京包线,jbx,605611,10000028550,0242,10000017039,110000021027,0.01484059061
1956,丰沙线,fsx,605515,10000004082,0242,110000013318,10000004925,0.06898326677
1957,大秦线,dqx,605642,10000023449,0242,210000003855,210000027983,0.11242645799
1958,京沪线,jhx,595661,10000027841,0242,10000012859,110000017221,0.01380297030
1959,丰沙线,fsx,595671,10000025777,0242,210000014441,210000006237,0.03790303619
1960,,,595671,10000026288,0242,10000002638,110000008964,0.01207456062
1961,丰沙线,fsx,595661,10000026746,0242,10000020780,110000011382,0.00139230674
1963,丰沙线,fsx,595661,10000011144,0242,10000016887,10000013302,0.00195827328
1964,丰沙线,fsx,605516,10000011158,0242,10000025965,210000013318,0.00104862247
1965,京承线,jcx,605605,10000013946,0242,10000008191,10000016705,0.02429343454
1966,京九线,jjx,595622,10000025826,0242,210000019939,110000006494,0.08373357561
1967,,,595651,10000025830,0242,10000004308,210000006508,0.00496567363
1968,,,605621,10000014882,0242,10000000925,10000017833,0.00169940525
1969,丰沙线,fsx,595670,10000013871,0242,10000002815,10000016615,0.01047482489
1970,西北环线,xbhx,595670,10000013872,0242,10000001103,10000016615,0.00660208569
1971,京秦线,jqx,595665,10000019408,0242,10000015075,10000023161,0.06222050850
1972,,,595664,10000015032,0242,10000027071,10000017999,0.01516283055
1973,,,595664,10000015033,0242,10000002487,10000017999,0.00019346425
1974,,,595672,10000011732,0242,10000022753,10000014010,0.00010047890
1975,京九线,jjx,595632,10000028599,0242,10000008574,110000021274,0.05365013753
1976,西北环线,xbhx,595670,10000028449,0242,10000015936,110000020408,0.01508873623
1977,京津高速铁路,jjgstl,595636,10000024575,0242,210000004178,110000000271,0.11590859156
1978,,,595557,10000024579,0242,10000018261,210000000290,0.00921899679
1979,京包线,jbx,595672,10000009903,0242,10000013612,10000011861,0.03686470720
1980,,,605607,10000029169,0242,10000026797,110000024313,0.00341140031
1981,,,595547,10000026968,0242,110000025935,210000012741,0.02056031924
1983,京沪高速铁路,jhgstl,595642,10000003272,0242,110000010665,110000003928,0.09706035454
1984,,,595670,10000003307,0242,10000024366,110000003970,0.02668522392
